dep,com,mort_com,hosp_com,indemne_com,leger_com,acc_com
95,95039,1,1,0,0,2
95,95042,0,2,7,16,25
95,95051,0,0,1,1,2
95,95052,0,2,3,2,7
95,95056,0,0,1,1,2
95,95058,0,0,3,7,10
95,95060,0,1,3,4,8
95,95061,0,0,1,3,4
95,95063,1,0,7,4,12
95,95088,0,0,1,2,3
95,95101,0,0,1,5,6
95,95116,1,2,2,7,12
95,95120,0,0,1,1,2
95,95127,1,9,26,18,54
95,95134,1,0,8,8,17
95,95142,2,0,1,1,4
95,95149,0,2,2,1,5
95,95151,0,1,0,1,2
95,95154,0,0,4,8,12
95,95169,2,0,0,0,2
95,95170,0,1,2,0,3
95,95176,0,0,0,3,3
95,95177,0,2,0,0,2
95,95183,0,3,1,0,4
95,95197,0,2,13,11,26
95,95199,0,2,7,1,10
95,95203,0,1,4,3,8
95,95205,0,0,4,2,6
95,95210,1,2,17,13,33
95,95212,1,1,4,15,21
95,95213,0,1,0,0,1
95,95218,1,2,7,13,23
95,95219,0,0,4,4,8
95,95229,0,0,3,3,6
95,95241,2,3,13,21,39
95,95250,0,1,5,4,10
95,95252,0,6,22,40,68
95,95256,0,1,6,6,13
95,95268,1,5,27,27,60
95,95277,1,10,53,77,141
95,95280,1,1,34,43,80
95,95288,0,0,2,4,6
95,95295,0,0,1,1,2
95,95298,0,2,2,3,7
95,95303,0,1,1,0,2
95,95306,0,4,27,18,49
95,95313,1,5,3,3,12
95,95323,0,2,4,3,9
95,95351,1,3,12,30,46
95,95352,0,2,2,5,9
95,95353,2,2,3,5,12
95,95355,0,1,1,0,2
95,95365,0,0,4,5,9
95,95370,0,2,2,0,4
95,95371,1,3,3,5,12
95,95388,0,1,1,0,2
95,95392,0,1,2,2,5
95,95394,0,3,11,8,22
95,95395,0,0,0,2,2
95,95409,0,1,2,3,6
95,95424,0,2,20,25,47
95,95427,0,2,20,24,46
95,95428,0,1,19,12,32
95,95436,0,1,2,3,6
95,95445,0,1,6,1,8
95,95446,0,1,2,2,5
95,95452,0,1,0,3,4
95,95459,0,1,1,0,2
95,95476,1,2,3,0,6
95,95487,0,3,10,15,28
95,95488,0,4,17,21,42
95,95489,0,1,1,1,3
95,95491,0,1,4,6,11
95,95500,0,2,13,11,26
95,95504,0,1,5,1,7
95,95523,0,0,0,1,1
95,95527,0,2,24,38,64
95,95535,0,2,0,0,2
95,95539,0,1,10,9,20
95,95554,0,1,0,0,1
95,95555,0,2,18,14,34
95,95563,0,0,2,10,12
95,95566,0,1,1,0,2
95,95572,1,2,37,49,89
95,95574,1,0,0,0,1
95,95580,0,1,14,10,25
95,95582,1,2,62,97,162
95,95585,0,2,18,20,41
95,95598,1,2,16,16,35
95,95604,0,4,9,14,27
95,95607,0,1,8,11,20
95,95610,0,2,4,3,9
95,95612,1,2,4,8,15
95,95637,0,0,1,1,2
95,95641,2,0,6,14,23
95,95652,0,2,4,2,8
95,95658,0,0,1,1,2
95,95660,0,0,1,1,2
95,95675,0,0,1,2,3
95,95678,0,2,16,9,27
95,95680,0,5,17,29,51
95,95682,0,0,3,6,9
95,95690,0,0,0,1,1
